Name,Address,PostalCode,PhoneNumber,InstitutionsCategory,InstitutionsType
Private HLLH Schulschwestern,Georgigasse 84,8020,+43(0)316583341,Höhere & Berufsbildende Schulen,Fachschule
Privatgymnasium Sacre Coeur,Petersgasse 1,8010,+43(0)31682800612,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
WIKU BRG,Sandgasse 40,8010,+43(0)316471511,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BRG Graz; Körösistraße,Körösistraße 155,8010,+43(0)316672060,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
HTBLVA Gösting (BULME),Ibererstraße 15-21,8051,+43(0)31660810,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
HTBLVA Ortweingasse,Körösistraße 157,8013,+43(0)3166084,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
BORG Dreierschützengasse,Dreierschützengasse 15,8020,+43(0)316682385,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BDV Benko 3-jährig,Freiheitsplatz 1,8010,+43(0)316822172,Höhere & Berufsbildende Schulen,Kaufmännische Schule
BRG Graz; Keplerstraße,Keplerstraße 1,8020,+43(0)316714712,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Seebachergasse,Seebachergasse 11,8010,+43(0)316322059,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Oeverseegasse,Oeverseegasse 28,8020,+43(0)316712271,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Dreihackengasse,Dreihackengasse 11,8020,+43(0)316712246,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Gesundheits- u. Krankenpflegeschule,Auenbruggerplatz 24,8036,+43(0)3163852431,Höhere & Berufsbildende Schulen,Humanberufliche Schule
Psychiatr. Gesundheits- u. Krankenpflegeschule,Wagner-Jauregg-Platz 23,8053,+43(0)31621912470,Höhere & Berufsbildende Schulen,Fachschule
BAfL Graz,Engelgasse 56,8010,+43(0)316327980,Höhere & Berufsbildende Schulen,Fachschule
Schule für Sozialbetr./Altenarbeit d. Diakoniewerkes,Krottendorfer Straße 81,8052,+43(0)316281371,Höhere & Berufsbildende Schulen,Fachschule
HLA f.w.B.; Sozialmanagement,Grabenstraße 41,8010,+43(0)3168015430,Höhere & Berufsbildende Schulen,Humanberufliche Schule
BHAK/BHAS Monsberger,Monsbergergasse 16,8010,+43(0)316463868,Höhere & Berufsbildende Schulen,Kaufmännische Schule
Akademisches Gymnasium,Bürgergasse 15,8010,+43(0)316814246,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
LA f. Sehbehinderte Odilien,Leonhardstraße 130,8010,+43(0)31632266726,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
BG/BRG Graz; Klusemannstraße,Klusemannstraße 25,8053,+43(0)316273848,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Hauswirtschaftliche Schule - Odilien,Leonhardstraße 130,8010,+43(0)31632266726,Höhere & Berufsbildende Schulen,Fachschule
VS Graz-Krones,Münzgrabenstraße 18,8010,+43(0)3168726980,Pflichtschulen,Volksschule
VS Graz-Bertha v. Suttner,Lagergasse 41,8020,+43(0)3168726750,Pflichtschulen,Volksschule
VS Graz-Peter Rosegger,Loewegasse 8,8052,+43(0)3168727040,Pflichtschulen,Volksschule
Private Realschule Graz-Webling,Unterer Bründlweg 19,8053,+43(0)3168726965,Pflichtschulen,Realschule
VS Graz-Mariagrün,Mariagrüner Straße 87,8043,+43(0)3168726820,Pflichtschulen,Volksschule
VS Graz-St. Andrä,Grenadiergasse 1,8020,+43(0)3168726900,Pflichtschulen,Volksschule
HS Graz-Kepler,Keplerstraße 52,8020,+43(0)3168726935,Pflichtschulen,Neue Mittelschule
HS Graz-St. Johann,Mariatroster Straße 128,8043,+43(0)3168726705,Pflichtschulen,Neue Mittelschule
HS Graz-Webling,Unterer Bründlweg 19,8053,+43(0)3168726965,Pflichtschulen,Neue Mittelschule
ASO Graz-Triester,Reiherstadlgasse 50,8020,+43(0)3168726858,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
Sprachheilschule Graz,Brockmanngasse 119,8010,+43(0)3168726725,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
Privatschule OK - Ort f. Kinder,Krottendorfer Straße 91,8052,+43(0)316578214,Pflichtschulen,Volksschule
Integrative Volksschule der Landessonderschule,Kalvariengürtel 64,8020,+43(0)31667213614,Pflichtschulen,Volksschule
Praxis HS der Päd.Hochschule in Stmk.,Hasnerplatz 12,8010,+43(0)31680671222,Pflichtschulen,Neue Mittelschule
HS Graz-St. Andrä,Kernstockgasse 1,8020,+43(0)3168726905,Pflichtschulen,Neue Mittelschule
HS Graz-St. Peter,Brucknerstraße 53,8010,+43(0)3168727015,Pflichtschulen,Neue Mittelschule
HS Graz-Straßgang,Aribonenstraße 14,8054,+43(0)3168726955,Pflichtschulen,Neue Mittelschule
HS Graz-Karl Morre,Karl-Morre-Straße 58,8020,+43(0)3168726975,Pflichtschulen,Neue Mittelschule
HS Graz-Algersdorf,Algersdorfer Straße 11,8020,+43(0)3168726765,Pflichtschulen,Neue Mittelschule
Sr. Klara Fietz - Priv. VS der Schulschwestern,Kaiser-Franz-Josef-Kai 18,8010,+43(0)316829551,Pflichtschulen,Volksschule
Private VS des Vereines Projektschule Graz,Moserhofgasse 3a,8010,+43(0)316474250,Pflichtschulen,Volksschule
Private HS der Ursulinen,Leonhardstraße 62,8010,+43(0)31632330020,Pflichtschulen,Neue Mittelschule
VS Graz-Waltendorf,Waltendorfer Hauptstraße 17,8010,+43(0)3168727060,Pflichtschulen,Volksschule
VS Odilien,Leonhardstraße 130,8010,+43(0)316327075,Pflichtschulen,Volksschule
VS Graz-St. Veit,St.-Veiter-Straße 76,8046,+43(0)3168727090,Pflichtschulen,Volksschule
VS Graz-Straßgang,Kärntner Straße 431,8054,+43(0)3168726950,Pflichtschulen,Volksschule
VS Graz-Mariatrost,Mariatroster Straße 194,8044,+43(0)3168726880,Pflichtschulen,Volksschule
VS Graz-Leopoldinum,Alte Poststraße 106,8020,+43(0)3168726790,Pflichtschulen,Volksschule
VS Graz-Liebenau,Puntigamer Straße 5,8041,+43(0)3168726810,Pflichtschulen,Volksschule
Praxis VS der Päd. Hochschule,Hasnerplatz 12,8010,+43(0)31680671222,Pflichtschulen,Volksschule
VS Graz-Karl Morre,Karl-Morre-Straße 58,8020,+43(0)3168726970,Pflichtschulen,Volksschule
VS Graz-Neufeld,Brucknerstraße 51,8010,+43(0)3168727010,Pflichtschulen,Volksschule
VS Graz-Algersdorf,Algersdorfer Straße 11,8020,+43(0)3168726760,Pflichtschulen,Volksschule
VS Graz-Neuhart,Kapellenstraße 100,8053,+43(0)3168727020,Pflichtschulen,Volksschule
VS Graz-Viktor-Kaplan,Andritzer Reichsstraße 35b,8045,+43(0)3168726860,Pflichtschulen,Volksschule
VS Graz-Andritz,Prochaskagasse 9,8045,+43(0)3168726730,Pflichtschulen,Volksschule
VS Graz-Eisteich,Eisteichgasse 14,8042,+43(0)3168726770,Pflichtschulen,Volksschule
VS Graz-Baiern,Baiernstraße 86,8020,+43(0)3168726740,Pflichtschulen,Volksschule
VS Graz-Engelsdorf,Liebenauer Hauptstraße 177,8041,+43(0)3168726780,Pflichtschulen,Volksschule
VS Graz-Fischerau,Augasse 81,8051,+43(0)3168726920,Pflichtschulen,Volksschule
Sonderschule Graz-Rosenhain,Panoramagasse 23,8010,+43(0)3168726745,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
Landesinstitut für Hörgeschädigte (SPZ),Rosenberggürtel 12,8010,+43(0)31632301529,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
Polytechnische Schule Graz-Herrgottwies,Herrgottwiesgasse 162a,8055,+43(0)3168726885,Pflichtschulen,Polytechnische Schule
VS Graz-Geidorf,Muchargasse 23,8010,+43(0)3168726800,Pflichtschulen,Volksschule
VS Graz-St. Johann,Mariatroster Straße 128,8043,+43(0)3168726700,Pflichtschulen,Volksschule
