XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1713920,12930000;5954410,30100000;36;Private HLLH Schulschwestern;Georgigasse 84;8020;Graz;+43(0)316/583341;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,075523;15,396406
1720304,79460000;5952826,49010000;37;Privatgymnasium Sacre Coeur;Petersgasse 1;8010;Graz;+43(0)316/828006-12;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,065834;15,453761
1721067,77320000;5951835,92500000;38;WIKU BRG;Sandgasse 40;8010;Graz;+43(0)316/471511;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,059772;15,460615
1716919,89640000;5956985,54360000;39;BRG Graz, Körösistraße;Körösistraße 155;8010;Graz;+43(0)316/672060;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,091278;15,423354
1714757,22190000;5957235,83350000;40;HTBLVA Gösting (BULME);Ibererstraße 15-21;8051;Graz;+43(0)316/6081-0;Höhere & Berufsbildende Schulen;Höhere technische - gewerbliche Lehranstalt;Stadt Graz - Stadtvermessung;47,092808;15,403926
1716876,89820000;5957039,85350000;41;HTBLVA Ortweingasse;Körösistraße 157;8013;Graz;+43(0)316/6084;Höhere & Berufsbildende Schulen;Höhere technische - gewerbliche Lehranstalt;Stadt Graz - Stadtvermessung;47,091610;15,422968
1715518,13700000;5954709,81610000;42;BORG Dreierschützengasse;Dreierschützengasse 15;8020;Graz;+43(0)316/682385;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,077358;15,410762
1718844,32810000;5953922,76500000;43;BDV Benko 3-jährig;Freiheitsplatz 1;8010;Graz;+43(0)316/822172;Höhere & Berufsbildende Schulen;Kaufmännische Schule;Stadt Graz - Stadtvermessung;47,072540;15,440641
1717866,96560000;5954626,14770000;44;BRG Graz, Keplerstraße;Keplerstraße 1;8020;Graz;+43(0)316/714712;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,076843;15,431862
1720994,31750000;5954581,09450000;45;BG/BRG Graz, Seebachergasse;Seebachergasse 11;8010;Graz;+43(0)316/322059;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,076569;15,459955
1717204,51270000;5952381,95420000;46;BG/BRG Graz, Oeverseegasse;Oeverseegasse 28;8020;Graz;+43(0)316/712271;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,063114;15,425911
