Graz insgesamt,249.089,2.836,3.024,3.289,3.390,3.194,3.189,3.311,3.301,3.263,3.033,2.871,2.828,2.678,2.663,2.631,2.673,2.667,2.685,2.840,3.044,3.531,3.981,4.411,4.484,4.654,3.330,4.327,4.668,4.398,4.765,4.644,4.851,3.429,2.555,2.388,2.331,2.401,2.368,2.529,2.662,2.824,2.803,2.892,2.995,3.032,3.171,3.342,3.466,3.662,3.686,3.626,3.342,2.361,1.917,2.123,2.278,3.262,3.352,3.544,3.360,3.403,3.417,3.240,3.099,2.919,3.039,3.013,2.796,2.829,2.698,2.438,2.383,2.343,2.050,1.972,1.700,1.676,1.624,1.331,1.271,1.058,995,916,825,621,506,429,344,272,218,147,117,69,56,48,72
60101 042 (GRAZ )<60101 042>,594,3,2,3,4,3,4,6,10,6,7,13,11,4,12,13,12,10,8,7,9,8,20,14,11,11,4,7,4,10,8,6,11,7,8,5,6,6,6,5,3,3,2,7,6,5,2,4,4,5,5,8,3,4,2,2,6,6,6,5,6,8,8,8,8,7,6,5,9,8,7,5,7,8,10,6,13,4,7,5,6,6,7,7,8,4,4,3,5,1,2,1,1,-,1,1,-
60101 043 (GRAZ )<60101 043>,335,2,-,5,2,2,3,1,-,3,4,-,2,5,2,1,1,2,2,4,4,6,5,6,8,5,3,10,5,4,7,10,5,3,2,1,3,3,4,1,4,2,2,1,2,3,4,3,1,6,5,6,3,6,1,4,4,9,10,6,11,7,4,2,5,6,5,5,4,5,9,1,6,5,5,7,2,5,3,1,-,6,4,2,3,1,1,1,1,-,-,-,-,-,-,-,-
60101 050 (GRAZ )<60101 050>,837,13,7,13,11,7,8,6,9,6,3,8,7,10,5,2,4,11,10,5,15,14,16,17,24,16,14,20,24,13,22,15,12,10,5,9,4,4,9,4,6,5,8,2,6,8,2,8,9,9,11,13,15,10,5,10,11,10,13,8,14,11,13,11,12,11,19,12,9,12,15,11,6,12,9,14,1,5,6,5,7,6,8,3,3,7,3,5,3,1,2,-,-,-,-,-,-
60101 051 (GRAZ )<60101 051>,1.301,10,14,9,22,9,10,8,13,13,8,12,8,10,5,5,8,10,15,9,23,23,22,35,23,27,24,30,35,31,28,27,15,14,13,9,5,10,12,6,10,16,10,7,11,7,9,10,24,15,20,13,19,8,8,13,11,19,17,18,19,20,23,22,20,11,18,19,17,23,16,18,13,15,10,15,15,16,13,10,15,15,11,11,8,8,6,5,4,3,1,5,-,-,1,-,-
60101 052 (GRAZ )<60101 052>,1.059,11,14,10,10,11,9,5,9,5,8,6,8,15,8,14,8,4,10,18,14,20,19,19,27,25,19,23,18,32,18,21,21,12,5,5,5,8,5,8,5,3,14,14,10,10,10,12,11,16,13,24,11,5,4,10,11,19,12,16,12,16,14,13,10,12,17,12,20,23,13,9,16,15,11,15,12,9,9,7,10,8,2,7,4,9,1,4,2,3,2,2,1,-,1,-,1
60101 053 (GRAZ )<60101 053>,1.476,17,13,18,19,14,10,10,16,11,15,16,13,16,11,12,18,16,14,14,33,28,46,38,35,35,29,37,40,48,31,33,21,27,20,16,12,8,7,11,12,11,14,13,15,25,13,15,20,23,14,21,22,13,10,7,15,20,17,17,16,23,17,13,18,11,17,20,11,16,11,18,13,10,18,10,11,10,11,11,10,6,6,5,3,5,3,1,1,3,2,-,-,-,-,-,1
60101 054 (GRAZ )<60101 054>,1.437,18,11,14,13,8,11,16,13,15,14,11,6,13,8,12,18,13,13,12,19,26,34,28,20,22,26,20,31,30,36,20,21,17,10,3,10,9,5,8,11,11,17,11,19,19,11,15,18,21,23,23,14,20,13,9,23,22,21,21,20,32,27,23,17,21,21,20,15,23,28,15,21,25,17,16,18,12,15,16,9,10,6,8,6,7,4,1,3,4,-,-,-,-,-,-,1
60101 055 (GRAZ )<60101 055>,1.128,7,9,4,15,11,16,12,9,12,6,9,8,5,12,7,9,11,11,12,17,28,23,30,23,10,10,25,17,19,23,15,20,14,14,10,4,10,8,5,7,11,10,9,11,18,8,16,12,17,14,9,20,18,6,14,12,13,16,16,16,15,14,16,17,21,14,27,17,12,17,18,20,23,10,5,7,11,14,11,10,2,10,12,2,8,3,1,2,1,-,1,-,1,1,-,2
60101 056 (GRAZ )<60101 056>,855,12,7,6,7,9,8,10,8,10,8,7,4,5,8,2,7,4,7,11,10,13,23,12,20,25,11,19,17,20,18,17,21,15,5,5,5,5,11,5,4,5,5,8,6,9,10,12,9,10,13,13,10,6,10,5,8,14,20,7,5,14,11,10,8,12,12,17,12,17,16,11,12,9,5,9,9,8,10,7,5,4,5,7,7,2,3,2,2,-,-,2,-,-,-,-,1
60101 060 (GRAZ )<60101 060>,1.263,10,16,15,18,9,12,13,13,15,12,6,16,13,19,19,17,8,13,18,23,38,43,36,30,25,19,24,17,20,30,19,26,15,10,11,9,7,6,6,8,16,8,7,13,13,9,23,22,26,23,20,16,11,14,10,9,25,9,17,16,16,15,14,13,17,18,13,12,12,13,11,7,10,9,13,13,8,14,8,8,4,5,5,1,2,2,3,1,2,1,1,-,1,-,-,-
