wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
NR2019;500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;2;6889;73;6816;1493;24
NR2019;500;Gries;FPÖ;Freiheitliche Partei Österreichs;3;6889;73;6816;1072;24
NR2019;500;Gries;NEOS;NEOS - Das Neue Österreich;4;6889;73;6816;483;24
NR2019;500;Gries;JETZT;JETZT - Liste Pilz;5;6889;73;6816;207;24
NR2019;500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;6;6889;73;6816;1682;24
NR2019;500;Gries;KPÖ;Kommunistische Partei Österreichs;7;6889;73;6816;291;24
NR2019;500;Gries;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;6889;73;6816;58;24
NR2019;600;Jakomini;ÖVP;Österreichische Volkspartei;1;11305;88;11217;2640;32
NR2019;600;Jakomini;SPÖ;Sozialdemokratische Partei Österreichs;2;11305;88;11217;1995;32
NR2019;600;Jakomini;FPÖ;Freiheitliche Partei Österreichs;3;11305;88;11217;1368;32
NR2019;600;Jakomini;NEOS;NEOS - Das Neue Österreich;4;11305;88;11217;1149;32
NR2019;600;Jakomini;JETZT;JETZT - Liste Pilz;5;11305;88;11217;401;32
NR2019;600;Jakomini;GRÜNE;Die Grünen - Die Grüne Alternative;6;11305;88;11217;3241;32
NR2019;600;Jakomini;KPÖ;Kommunistische Partei Österreichs;7;11305;88;11217;352;32
NR2019;600;Jakomini;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;11305;88;11217;71;32
NR2019;700;Liebenau;ÖVP;Österreichische Volkspartei;1;5912;57;5855;1901;14
NR2019;700;Liebenau;SPÖ;Sozialdemokratische Partei Österreichs;2;5912;57;5855;1173;14
NR2019;700;Liebenau;FPÖ;Freiheitliche Partei Österreichs;3;5912;57;5855;1032;14
NR2019;700;Liebenau;NEOS;NEOS - Das Neue Österreich;4;5912;57;5855;506;14
NR2019;700;Liebenau;JETZT;JETZT - Liste Pilz;5;5912;57;5855;111;14
NR2019;700;Liebenau;GRÜNE;Die Grünen - Die Grüne Alternative;6;5912;57;5855;1008;14
NR2019;700;Liebenau;KPÖ;Kommunistische Partei Österreichs;7;5912;57;5855;107;14
NR2019;700;Liebenau;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;5912;57;5855;17;14
NR2019;800;St.Peter;ÖVP;Österreichische Volkspartei;1;7821;56;7765;2552;16
NR2019;800;St.Peter;SPÖ;Sozialdemokratische Partei Österreichs;2;7821;56;7765;1050;16
NR2019;800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;3;7821;56;7765;779;16
NR2019;800;St.Peter;NEOS;NEOS - Das Neue Österreich;4;7821;56;7765;1000;16
NR2019;800;St.Peter;JETZT;JETZT - Liste Pilz;5;7821;56;7765;219;16
NR2019;800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;6;7821;56;7765;2039;16
NR2019;800;St.Peter;KPÖ;Kommunistische Partei Österreichs;7;7821;56;7765;94;16
NR2019;800;St.Peter;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;7821;56;7765;32;16
NR2019;900;Waltendorf;ÖVP;Österreichische Volkspartei;1;5717;40;5677;2031;13
NR2019;900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;2;5717;40;5677;683;13
NR2019;900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;3;5717;40;5677;503;13
NR2019;900;Waltendorf;NEOS;NEOS - Das Neue Österreich;4;5717;40;5677;729;13
NR2019;900;Waltendorf;JETZT;JETZT - Liste Pilz;5;5717;40;5677;149;13
NR2019;900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;6;5717;40;5677;1468;13
NR2019;900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;7;5717;40;5677;81;13
NR2019;900;Waltendorf;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;5717;40;5677;33;13
NR2019;1000;Ries;ÖVP;Österreichische Volkspartei;1;2658;13;2645;872;7
NR2019;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;2;2658;13;2645;324;7
NR2019;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;3;2658;13;2645;297;7
NR2019;1000;Ries;NEOS;NEOS - Das Neue Österreich;4;2658;13;2645;314;7
NR2019;1000;Ries;JETZT;JETZT - Liste Pilz;5;2658;13;2645;84;7
NR2019;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;6;2658;13;2645;705;7
NR2019;1000;Ries;KPÖ;Kommunistische Partei Österreichs;7;2658;13;2645;43;7
NR2019;1000;Ries;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;2658;13;2645;6;7
NR2019;1100;Mariatrost;ÖVP;Österreichische Volkspartei;1;4435;22;4413;1553;10
NR2019;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;2;4435;22;4413;453;10
NR2019;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;3;4435;22;4413;377;10
NR2019;1100;Mariatrost;NEOS;NEOS - Das Neue Österreich;4;4435;22;4413;556;10
NR2019;1100;Mariatrost;JETZT;JETZT - Liste Pilz;5;4435;22;4413;137;10
NR2019;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;6;4435;22;4413;1255;10
NR2019;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;7;4435;22;4413;64;10
NR2019;1100;Mariatrost;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;4435;22;4413;18;10
NR2019;1200;Andritz;ÖVP;Österreichische Volkspartei;1;9042;66;8976;2931;19
NR2019;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;2;9042;66;8976;1403;19
NR2019;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;3;9042;66;8976;1012;19
NR2019;1200;Andritz;NEOS;NEOS - Das Neue Österreich;4;9042;66;8976;1004;19
NR2019;1200;Andritz;JETZT;JETZT - Liste Pilz;5;9042;66;8976;223;19
NR2019;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;6;9042;66;8976;2220;19
NR2019;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;7;9042;66;8976;143;19
NR2019;1200;Andritz;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;9042;66;8976;40;19
NR2019;1300;Gösting;ÖVP;Österreichische Volkspartei;1;4009;30;3979;1271;12
NR2019;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;2;4009;30;3979;757;12
NR2019;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;3;4009;30;3979;714;12
NR2019;1300;Gösting;NEOS;NEOS - Das Neue Österreich;4;4009;30;3979;310;12
NR2019;1300;Gösting;JETZT;JETZT - Liste Pilz;5;4009;30;3979;98;12
NR2019;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;6;4009;30;3979;731;12
NR2019;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;7;4009;30;3979;86;12
NR2019;1300;Gösting;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;4009;30;3979;12;12
NR2019;1400;Eggenberg;ÖVP;Österreichische Volkspartei;1;7645;56;7589;2108;19
NR2019;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;2;7645;56;7589;1481;19
NR2019;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;3;7645;56;7589;1149;19
NR2019;1400;Eggenberg;NEOS;NEOS - Das Neue Österreich;4;7645;56;7589;691;19
NR2019;1400;Eggenberg;JETZT;JETZT - Liste Pilz;5;7645;56;7589;221;19
NR2019;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;6;7645;56;7589;1685;19
NR2019;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;7;7645;56;7589;200;19
NR2019;1400;Eggenberg;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;7645;56;7589;54;19
NR2019;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;1;6440;52;6388;1970;17
NR2019;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;2;6440;52;6388;1360;17
NR2019;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;3;6440;52;6388;1232;17
NR2019;1500;Wetzelsdorf;NEOS;NEOS - Das Neue Österreich;4;6440;52;6388;466;17
NR2019;1500;Wetzelsdorf;JETZT;JETZT - Liste Pilz;5;6440;52;6388;130;17
NR2019;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;6;6440;52;6388;1019;17
NR2019;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;7;6440;52;6388;180;17
NR2019;1500;Wetzelsdorf;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;6440;52;6388;31;17
NR2019;1600;Straßgang;ÖVP;Österreichische Volkspartei;1;7019;60;6959;2286;15
NR2019;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;2;7019;60;6959;1358;15
NR2019;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;3;7019;60;6959;1279;15
NR2019;1600;Straßgang;NEOS;NEOS - Das Neue Österreich;4;7019;60;6959;523;15
NR2019;1600;Straßgang;JETZT;JETZT - Liste Pilz;5;7019;60;6959;151;15
NR2019;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;6;7019;60;6959;1187;15
NR2019;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;7;7019;60;6959;148;15
