ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G20099,G20000,Wahlkarten - Kärnten,
NR2017,G20100,G2A000,Klagenfurt(Stadt),
NR2017,G20101,G20100,Klagenfurt am Wörthersee,
NR2017,G20199,G20100,Wahlkarten - Klagenfurt(Stadt),
NR2017,G20200,G2B000,Villach(Stadt),
NR2017,G20201,G20200,Villach,
NR2017,G20299,G20200,Wahlkarten - Villach(Stadt),
NR2017,G20300,G2C000,Hermagor,
NR2017,G20302,G20300,Dellach,
NR2017,G20305,G20300,Hermagor-Pressegger See,
NR2017,G20306,G20300,Kirchbach,
NR2017,G20307,G20300,Kötschach-Mauthen,
NR2017,G20316,G20300,St. Stefan im Gailtal,
NR2017,G20320,G20300,Gitschtal,
NR2017,G20321,G20300,Lesachtal,
NR2017,G20399,G20300,Wahlkarten - Hermagor,
NR2017,G20400,G2A000,Klagenfurt Land,
NR2017,G20402,G20400,Ebenthal in Kärnten,
NR2017,G20403,G20400,Feistritz im Rosental,
NR2017,G20405,G20400,Ferlach,
NR2017,G20409,G20400,Grafenstein,
NR2017,G20412,G20400,Keutschach am See,
NR2017,G20414,G20400,Köttmannsdorf,
NR2017,G20415,G20400,Krumpendorf am Wörthersee,
NR2017,G20416,G20400,Ludmannsdorf,
NR2017,G20417,G20400,Maria Rain,
NR2017,G20418,G20400,Maria Saal,
NR2017,G20419,G20400,Maria Wörth,
NR2017,G20421,G20400,Moosburg,
NR2017,G20424,G20400,Pörtschach am Wörther See,
NR2017,G20425,G20400,Poggersdorf,
NR2017,G20428,G20400,St. Margareten im Rosental,
NR2017,G20432,G20400,Schiefling am Wörthersee,
NR2017,G20435,G20400,Techelsberg am Wörther See,
NR2017,G20441,G20400,Zell,
NR2017,G20442,G20400,Magdalensberg,
NR2017,G20499,G20400,Wahlkarten - Klagenfurt Land,
NR2017,G20500,G2D000,Sankt Veit an der Glan,
NR2017,G20501,G20500,Althofen,
NR2017,G20502,G20500,Brückl,
NR2017,G20503,G20500,Deutsch-Griffen,
NR2017,G20504,G20500,Eberstein,
NR2017,G20505,G20500,Friesach,
NR2017,G20506,G20500,Glödnitz,
NR2017,G20508,G20500,Gurk,
NR2017,G20509,G20500,Guttaring,
NR2017,G20511,G20500,Hüttenberg,
NR2017,G20512,G20500,Kappel am Krappfeld,
NR2017,G20513,G20500,Klein St. Paul,
NR2017,G20515,G20500,Liebenfels,
NR2017,G20518,G20500,Metnitz,
NR2017,G20519,G20500,Micheldorf,
NR2017,G20520,G20500,Mölbling,
NR2017,G20523,G20500,St. Georgen am Längsee,
NR2017,G20527,G20500,St. Veit an der Glan,
NR2017,G20530,G20500,Straßburg,
NR2017,G20531,G20500,Weitensfeld im Gurktal,
NR2017,G20534,G20500,Frauenstein,
NR2017,G20599,G20500,Wahlkarten - Sankt Veit an der Glan,
NR2017,G20600,G2C000,Spittal an der Drau,
NR2017,G20601,G20600,Bad Kleinkirchheim,
NR2017,G20602,G20600,Baldramsdorf,
NR2017,G20603,G20600,Berg im Drautal,
NR2017,G20604,G20600,Dellach im Drautal,
NR2017,G20605,G20600,Großkirchheim,
NR2017,G20607,G20600,Flattach,
NR2017,G20608,G20600,Gmünd in Kärnten,
NR2017,G20609,G20600,Greifenburg,
NR2017,G20610,G20600,Heiligenblut am Großglockner,
NR2017,G20611,G20600,Irschen,
NR2017,G20613,G20600,Kleblach-Lind,
NR2017,G20616,G20600,Lendorf,
NR2017,G20618,G20600,Mallnitz,
NR2017,G20619,G20600,Malta,
NR2017,G20620,G20600,Millstatt am See,
NR2017,G20622,G20600,Mörtschach,
NR2017,G20624,G20600,Mühldorf,
NR2017,G20625,G20600,Oberdrauburg,
NR2017,G20627,G20600,Obervellach,
NR2017,G20630,G20600,Radenthein,
NR2017,G20631,G20600,Rangersdorf,
NR2017,G20632,G20600,Rennweg am Katschberg,
NR2017,G20633,G20600,Sachsenburg,
NR2017,G20634,G20600,Seeboden am Millstätter See,
NR2017,G20635,G20600,Spittal an der Drau,
NR2017,G20636,G20600,Stall,
NR2017,G20637,G20600,Steinfeld,
NR2017,G20638,G20600,Trebesing,
NR2017,G20639,G20600,Weißensee,
NR2017,G20640,G20600,Winklern,
NR2017,G20642,G20600,Krems in Kärnten,
NR2017,G20643,G20600,Lurnfeld,
NR2017,G20644,G20600,Reißeck,
NR2017,G20699,G20600,Wahlkarten - Spittal an der Drau,
NR2017,G20700,G2B000,Villach Land,
NR2017,G20701,G20700,Afritz am See,
NR2017,G20702,G20700,Arnoldstein,
NR2017,G20703,G20700,Arriach,
NR2017,G20705,G20700,Bad Bleiberg,
NR2017,G20707,G20700,Feistritz an der Gail,
NR2017,G20708,G20700,Feld am See,
NR2017,G20710,G20700,Ferndorf,
NR2017,G20711,G20700,Finkenstein am Faaker See,
NR2017,G20712,G20700,Fresach,
NR2017,G20713,G20700,Hohenthurn,
NR2017,G20719,G20700,Nötsch im Gailtal,
NR2017,G20720,G20700,Paternion,
NR2017,G20721,G20700,Rosegg,
