JKey,Shortname,Title,Volume,Number,Year
J581,KAIS,Knowl. Inf. Syst.,33,1,2011
J582,KAIS,Knowl. Inf. Syst.,31,3,2012
J583,PVLDB,PVLDB,8,2,2014
J584,CACM,Commun. ACM,58,10,2015
J585,KAIS,Knowl. Inf. Syst.,46,1,2016
J586,KAIS,Knowl. Inf. Syst.,55,2,2018
J587,TKDE,IEEE Trans. Knowl. Data Eng.,26,6,2014
J588,VLDB,VLDB J.,22,2,2013
J589,TODS,ACM Trans. Database Syst.,42,4,2017
J590,DBSK,Datenbank-Spektrum,18,2,2018
J591,PVLDB,PVLDB,10,8,2017
J592,PVLDB,PVLDB,10,12,2017
J593,TKDE,IEEE Trans. Knowl. Data Eng.,23,5,2011
J594,TKDE,IEEE Trans. Knowl. Data Eng.,29,2,2017
J595,SIGMOD,SIGMOD Record,40,3,2011
J596,IS,Inf. Syst.,47,,2015
J597,PVLDB,PVLDB,7,4,2013
J598,PVLDB,PVLDB,8,11,2015
J599,PVLDB,PVLDB,9,10,2016
J600,CACM,Commun. ACM,55,11,2012
J601,DEBU,IEEE Data Eng. Bull.,38,1,2015
J602,CACM,Commun. ACM,54,12,2011
J603,IS,Inf. Syst.,61,,2016
J604,CACM,Commun. ACM,57,9,2014
J605,KAIS,Knowl. Inf. Syst.,61,2,2019
J606,IS,Inf. Syst.,39,,2014
J607,DBSK,Datenbank-Spektrum,14,3,2014
J608,DBSK,Datenbank-Spektrum,12,2,2012
J609,TKDE,IEEE Trans. Knowl. Data Eng.,26,1,2014
J610,PVLDB,PVLDB,8,7,2015
J611,CACM,Commun. ACM,57,4,2014
J612,DEBU,IEEE Data Eng. Bull.,37,3,2014
J613,PVLDB,PVLDB,10,3,2016
J614,CACM,Commun. ACM,58,7,2015
J615,TKDE,IEEE Trans. Knowl. Data Eng.,30,5,2018
J616,IS,Inf. Syst.,37,8,2012
J617,PVLDB,PVLDB,7,9,2014
J618,TKDE,IEEE Trans. Knowl. Data Eng.,29,7,2017
J619,CACM,Commun. ACM,56,6,2013
J620,PVLDB,PVLDB,4,5,2011
J621,TKDE,IEEE Trans. Knowl. Data Eng.,27,1,2015
J622,DEBU,IEEE Data Eng. Bull.,39,1,2016
J623,TKDE,IEEE Trans. Knowl. Data Eng.,26,3,2014
J624,CACM,Commun. ACM,55,8,2012
J625,KAIS,Knowl. Inf. Syst.,62,2,2020
J626,PVLDB,PVLDB,11,3,2017
J627,IS,Inf. Syst.,55,,2016
J628,CACM,Commun. ACM,59,2,2016
J629,KAIS,Knowl. Inf. Syst.,40,1,2014
J630,TODS,ACM Trans. Database Syst.,40,3,2015
J631,TKDE,IEEE Trans. Knowl. Data Eng.,24,5,2012
J632,VLDB,VLDB J.,28,4,2019
J633,IS,Inf. Syst.,42,,2014
J634,PVLDB,PVLDB,5,3,2011
J635,DBSK,Datenbank-Spektrum,19,2,2019
J636,DEBU,IEEE Data Eng. Bull.,38,3,2015
J637,TODS,ACM Trans. Database Syst.,43,4,2018
J638,DBSK,Datenbank-Spektrum,15,3,2015
J639,PVLDB,PVLDB,10,5,2017
J640,IS,Inf. Syst.,38,3,2013
J641,SIGMOD,SIGMOD Record,43,1,2014
J642,TKDE,IEEE Trans. Knowl. Data Eng.,23,2,2011
J643,CACM,Commun. ACM,58,9,2015
J644,KAIS,Knowl. Inf. Syst.,49,2,2016
J645,TKDE,IEEE Trans. Knowl. Data Eng.,25,10,2013
J646,KAIS,Knowl. Inf. Syst.,39,3,2014
J647,TODS,ACM Trans. Database Syst.,44,2,2019
J648,TKDE,IEEE Trans. Knowl. Data Eng.,24,11,2012
J649,VLDB,VLDB J.,25,3,2016
J650,KAIS,Knowl. Inf. Syst.,34,1,2013
J651,PVLDB,PVLDB,8,4,2014
J652,PVLDB,PVLDB,6,13,2013
J653,PVLDB,PVLDB,7,12,2014
J654,KAIS,Knowl. Inf. Syst.,27,1,2011
J655,CACM,Commun. ACM,59,7,2016
J656,IS,Inf. Syst.,71,,2017
J657,TKDE,IEEE Trans. Knowl. Data Eng.,30,11,2018
J658,SIGMOD,SIGMOD Record,48,3,2019
J659,CACM,Commun. ACM,58,4,2015
J660,TODS,ACM Trans. Database Syst.,36,4,2011
J661,PVLDB,PVLDB,11,13,2018
J662,KAIS,Knowl. Inf. Syst.,47,1,2016
J663,IS,Inf. Syst.,38,8,2013
J664,TKDE,IEEE Trans. Knowl. Data Eng.,27,10,2015
J665,KAIS,Knowl. Inf. Syst.,26,3,2011
J666,TKDE,IEEE Trans. Knowl. Data Eng.,32,3,2020
J667,IS,Inf. Syst.,63,,2017
J668,TKDE,IEEE Trans. Knowl. Data Eng.,23,7,2011
J669,CACM,Commun. ACM,62,12,2019
J670,CACM,Commun. ACM,61,3,2018
J671,KAIS,Knowl. Inf. Syst.,45,3,2015
J672,IS,Inf. Syst.,50,,2015
J673,TODS,ACM Trans. Database Syst.,38,2,2013
J674,SIGMOD,SIGMOD Record,44,4,2015
J675,PVLDB,PVLDB,9,7,2016
J676,CACM,Commun. ACM,56,12,2013
J677,DEBU,IEEE Data Eng. Bull.,40,4,2017
J678,CACM,Commun. ACM,57,1,2014
J679,VLDB,VLDB J.,20,6,2011
J680,TKDE,IEEE Trans. Knowl. Data Eng.,28,9,2016
J681,PVLDB,PVLDB,6,6,2013
J682,VLDB,VLDB J.,24,5,2015
J683,PVLDB,PVLDB,12,12,2019
J684,CACM,Commun. ACM,60,5,2017
J685,VLDB,VLDB J.,27,1,2018
J686,SIGMOD,SIGMOD Record,41,3,2012
J687,KAIS,Knowl. Inf. Syst.,36,2,2013
J688,PVLDB,PVLDB,9,2,2015
J689,DEBU,IEEE Data Eng. Bull.,41,2,2018
J690,DEBU,IEEE Data Eng. Bull.,34,4,2011
J691,KAIS,Knowl. Inf. Syst.,58,3,2019
J692,SIGMOD,SIGMOD Record,45,2,2016
J693,KAIS,Knowl. Inf. Syst.,32,3,2012
J694,VLDB,VLDB J.,21,4,2012
J695,CACM,Commun. ACM,57,11,2014
J696,TKDE,IEEE Trans. Knowl. Data Eng.,27,6,2015
J697,PVLDB,PVLDB,12,6,2019
J698,DEBU,IEEE Data Eng. Bull.,35,2,2012
J699,DBSK,Datenbank-Spektrum,17,1,2017
J700,CACM,Commun. ACM,61,8,2018
J701,VLDB,VLDB J.,20,1,2011
J702,TKDE,IEEE Trans. Knowl. Data Eng.,28,4,2016
J703,PVLDB,PVLDB,13,1,2019
J704,CACM,Commun. ACM,55,3,2012
J705,TKDE,IEEE Trans. Knowl. Data Eng.,23,12,2011
J706,KAIS,Knowl. Inf. Syst.,53,1,2017
J707,IS,Inf. Syst.,84,,2019
J708,CACM,Commun. ACM,54,5,2011
J709,PVLDB,PVLDB,11,8,2018
J710,CACM,Commun. ACM,63,1,2020
J711,IS,Inf. Syst.,76,,2018
J712,PVLDB,PVLDB,5,8,2012
J713,TODS,ACM Trans. Database Syst.,41,1,2016
