JKey,Shortname,Title,Volume,Number,Year
J225,TKDE,IEEE Trans. Knowl. Data Eng.,25,7,2013
J226,KAIS,Knowl. Inf. Syst.,51,2,2017
J227,PVLDB,PVLDB,12,11,2019
J228,CACM,Commun. ACM,60,4,2017
J229,KAIS,Knowl. Inf. Syst.,41,3,2014
J230,CACM,Commun. ACM,57,10,2014
J231,PVLDB,PVLDB,5,7,2012
J232,TKDE,IEEE Trans. Knowl. Data Eng.,27,5,2015
J233,IS,Inf. Syst.,62,,2016
J234,TODS,ACM Trans. Database Syst.,44,1,2019
J235,TKDE,IEEE Trans. Knowl. Data Eng.,24,9,2012
J236,TKDE,IEEE Trans. Knowl. Data Eng.,28,8,2016
J237,IS,Inf. Syst.,75,,2018
J238,PVLDB,PVLDB,11,12,2018
J239,CACM,Commun. ACM,59,6,2016
J240,CACM,Commun. ACM,61,2,2018
J241,CACM,Commun. ACM,56,11,2013
J242,IS,Inf. Syst.,88,,2020
J243,PVLDB,PVLDB,5,2,2011
J244,SIGMOD,SIGMOD Record,45,1,2016
J245,KAIS,Knowl. Inf. Syst.,36,1,2013
J246,PVLDB,PVLDB,11,7,2018
J247,DEBU,IEEE Data Eng. Bull.,41,1,2018
J248,IS,Inf. Syst.,36,4,2011
J249,CACM,Commun. ACM,54,4,2011
J250,IS,Inf. Syst.,83,,2019
J251,CACM,Commun. ACM,60,9,2017
J252,KAIS,Knowl. Inf. Syst.,58,2,2019
J253,KAIS,Knowl. Inf. Syst.,45,2,2015
J254,DEBU,IEEE Data Eng. Bull.,40,3,2017
J255,CACM,Commun. ACM,55,2,2012
J256,KAIS,Knowl. Inf. Syst.,60,3,2019
J257,KAIS,Knowl. Inf. Syst.,35,3,2013
J258,TODS,ACM Trans. Database Syst.,38,1,2013
J259,SIGMOD,SIGMOD Record,44,3,2015
J260,PVLDB,PVLDB,12,5,2019
J261,VLDB,VLDB J.,24,4,2015
J262,IS,Inf. Syst.,46,,2014
J263,CACM,Commun. ACM,61,7,2018
J264,PVLDB,PVLDB,6,5,2013
J265,TKDE,IEEE Trans. Knowl. Data Eng.,28,3,2016
J266,VLDB,VLDB J.,26,5,2017
J267,DEBU,IEEE Data Eng. Bull.,37,4,2014
J268,TKDE,IEEE Trans. Knowl. Data Eng.,25,4,2013
J269,PVLDB,PVLDB,6,2,2012
J270,TKDE,IEEE Trans. Knowl. Data Eng.,31,9,2019
J271,CACM,Commun. ACM,54,9,2011
J272,VLDB,VLDB J.,27,5,2018
J273,IS,Inf. Syst.,36,6,2011
J274,PVLDB,PVLDB,12,7,2019
J275,TODS,ACM Trans. Database Syst.,41,2,2016
J276,KAIS,Knowl. Inf. Syst.,29,3,2011
J277,KAIS,Knowl. Inf. Syst.,30,1,2012
J278,TKDE,IEEE Trans. Knowl. Data Eng.,23,11,2011
J279,TKDE,IEEE Trans. Knowl. Data Eng.,28,5,2016
J280,KAIS,Knowl. Inf. Syst.,61,3,2019
J281,PVLDB,PVLDB,10,9,2017
J282,CACM,Commun. ACM,57,5,2014
J283,KAIS,Knowl. Inf. Syst.,42,3,2015
J284,TKDE,IEEE Trans. Knowl. Data Eng.,29,3,2017
J285,IS,Inf. Syst.,70,,2017
J286,IS,Inf. Syst.,36,1,2011
J287,PVLDB,PVLDB,6,7,2013
J288,PVLDB,PVLDB,12,13,2019
J289,SIGMOD,SIGMOD Record,47,4,2018
J290,CACM,Commun. ACM,59,10,2016
J291,PVLDB,PVLDB,7,5,2014
J292,IS,Inf. Syst.,56,,2016
J293,DEBU,IEEE Data Eng. Bull.,34,3,2011
J294,KAIS,Knowl. Inf. Syst.,52,2,2017
J295,PVLDB,PVLDB,12,2,2018
J296,TKDE,IEEE Trans. Knowl. Data Eng.,25,9,2013
J297,CACM,Commun. ACM,56,2,2013
J298,CACM,Commun. ACM,62,7,2019
J299,CACM,Commun. ACM,61,12,2018
J300,DBSK,Datenbank-Spektrum,16,2,2016
J301,PVLDB,PVLDB,13,5,2020
J302,KAIS,Knowl. Inf. Syst.,59,2,2019
J303,VLDB,VLDB J.,26,2,2017
J304,TKDE,IEEE Trans. Knowl. Data Eng.,26,10,2014
J305,CACM,Commun. ACM,61,4,2018
J306,VLDB,VLDB J.,20,5,2011
J307,KAIS,Knowl. Inf. Syst.,36,3,2013
J308,IS,Inf. Syst.,37,4,2012
J309,IS,Inf. Syst.,48,,2015
J310,SIGMOD,SIGMOD Record,46,1,2017
J311,DEBU,IEEE Data Eng. Bull.,42,1,2019
J312,TKDE,IEEE Trans. Knowl. Data Eng.,30,1,2018
J313,KAIS,Knowl. Inf. Syst.,27,2,2011
J314,KAIS,Knowl. Inf. Syst.,37,1,2013
J315,VLDB,VLDB J.,23,1,2014
J316,PVLDB,PVLDB,10,13,2017
J317,PVLDB,PVLDB,8,12,2015
J318,TODS,ACM Trans. Database Syst.,37,3,2012
J319,CACM,Commun. ACM,55,12,2012
J320,SIGMOD,SIGMOD Record,40,4,2011
J321,TKDE,IEEE Trans. Knowl. Data Eng.,29,8,2017
J322,KAIS,Knowl. Inf. Syst.,56,1,2018
J323,TKDE,IEEE Trans. Knowl. Data Eng.,31,11,2019
J324,KAIS,Knowl. Inf. Syst.,49,3,2016
J325,TKDE,IEEE Trans. Knowl. Data Eng.,25,11,2013
J326,CACM,Commun. ACM,62,2,2019
J327,KAIS,Knowl. Inf. Syst.,46,2,2016
J328,IS,Inf. Syst.,77,,2018
J329,PVLDB,PVLDB,8,8,2015
J330,PVLDB,PVLDB,9,11,2016
J331,CACM,Commun. ACM,58,11,2015
J332,PVLDB,PVLDB,4,9,2011
J333,TKDE,IEEE Trans. Knowl. Data Eng.,26,7,2014
J334,CACM,Commun. ACM,58,8,2015
J335,TKDE,IEEE Trans. Knowl. Data Eng.,24,1,2012
J336,TKDE,IEEE Trans. Knowl. Data Eng.,31,4,2019
J337,KAIS,Knowl. Inf. Syst.,33,2,2012
J338,DEBU,IEEE Data Eng. Bull.,36,1,2013
J339,TKDE,IEEE Trans. Knowl. Data Eng.,30,6,2018
J340,IS,Inf. Syst.,69,,2017
J341,CACM,Commun. ACM,56,7,2013
J342,DBSK,Datenbank-Spektrum,13,1,2013
J343,TODS,ACM Trans. Database Syst.,43,3,2018
J344,VLDB,VLDB J.,23,6,2014
J345,KAIS,Knowl. Inf. Syst.,43,1,2015
J346,DBSK,Datenbank-Spektrum,12,3,2012
J347,SIGMOD,SIGMOD Record,42,2,2013
J348,VLDB,VLDB J.,22,3,2013
J349,PVLDB,PVLDB,4,4,2011
J350,TKDE,IEEE Trans. Knowl. Data Eng.,26,2,2014
J351,KAIS,Knowl. Inf. Syst.,55,3,2018
J352,PVLDB,PVLDB,10,10,2017
J353,DBSK,Datenbank-Spektrum,19,3,2019
J354,CACM,Commun. ACM,59,8,2016
J355,KAIS,Knowl. Inf. Syst.,53,2,2017
J356,KAIS,Knowl. Inf. Syst.,43,3,2015
J357,VLDB,VLDB J.,20,2,2011
J358,TKDE,IEEE Trans. Knowl. Data Eng.,26,9,2014
J359,PVLDB,PVLDB,5,4,2011
J360,SIGMOD,SIGMOD Record,43,2,2014
