TKey,Author,Title,Year,Type,School,Country,Pages,ISBN
T2808,A2203561,Discovering patterns and anomalies in graphs with discrete and numeric attributes,2014,PhD,Queen's University Belfast,United Kingdom,,
T2813,A113316,Content dissemination in participatory delay tolerant networks,2011,PhD,University College London,United Kingdom,,
T2839,A2154313,Distributed reinforcement learning for network intrusion response,2014,PhD,University of York,United Kingdom,,
T2863,A105142,Unconstrained face recognition with occlusions,2014,PhD,University of Warwick,United Kingdom,,
T2873,A998710,Evaluating conjunctive and graph queries over the EL profile of OWL 2,2015,PhD,University of Oxford,United Kingdom,,
T2923,A212598,Multi-faceted analysis of news sharing in social networking sites,2014,PhD,University of Cambridge,United Kingdom,,
T2928,A246038,Effective and efficient generation of Size-l object summaries for relational keyword search,2011,PhD,Manchester Metropolitan University,United Kingdom,,
T2929,A2124090,Security and usability in click-based authentication systems,2011,PhD,University of Bedfordshire,United Kingdom,,
T2950,A1120776,Action recognition in depth videos using nonparametric probabilistic graphical models,2016,PhD,Birkbeck,United Kingdom,,
T2979,A1074366,A study into best practices and procedures used in the management of database systems,2017,PhD,Open University,United Kingdom,,
T2981,A40922,Querying big data with bounded data access,2016,PhD,University of Edinburgh,United Kingdom,,
T2983,A962313,Social network support for data delivery infrastructures,2011,PhD,University of Cambridge,United Kingdom,,
T3074,A1561925,Optimizing graph query performance by indexing and caching,2017,PhD,University of Glasgow,United Kingdom,,
T3081,A455090,Accuracy estimation for sensor networks,2014,PhD,University of Oxford,United Kingdom,,
T3161,A1671498,Research data management,2014,PhD,University of Southampton,United Kingdom,,
T3246,A867336,A ranking framework and evaluation for diversity-based retrieval,2012,PhD,University of Glasgow,United Kingdom,,
T3252,A1350379,Learning and cooperation in multi-agent system with applications to robot football,2011,PhD,University of Oxford,United Kingdom,,
T3282,A2295979,Analysis and design of competing double auction marketplaces,2011,PhD,University of Southampton,United Kingdom,,
T3383,A1245698,Deep learning for reading and understanding language,2017,PhD,University of Oxford,United Kingdom,,
T3412,A777490,Search interfaces for known-item and exploratory search tasks,2012,PhD,University College London,United Kingdom,,
T3414,A1741542,Finding and measuring inconsistency in arbitrary knowledge bases,2014,PhD,Queen's University Belfast,United Kingdom,,
T3433,A658360,Data mining in text streams using suffix trees,2012,PhD,University of Bristol,United Kingdom,,
T3473,A772206,Trust-based algorithms for fusing crowdsourced estimates of continuous quantities,2014,PhD,University of Southampton,United Kingdom,,
T3476,A1912244,Inference and learning in state-space point process models: algorithms and applications,2013,PhD,University of Southampton,United Kingdom,,
T3489,A1499985,Category-theoretic quantitative compositional distributional models of natural language semantics,2013,PhD,University of Oxford,United Kingdom,,
T3503,A1699428,Predictive modelling of bone ageing,2013,PhD,University of East Anglia,United Kingdom,,
T3543,A1994059,Learning implicit recommenders from massive unobserved feedback,2018,PhD,University of Glasgow,United Kingdom,,
T3557,A928222,Inferring information about correspondences between data sources for dataspaces,2011,PhD,University of Manchester,United Kingdom,,
T3573,A1668034,Going beyond relevance: role of effort in information retrieval,2017,PhD,University College London,United Kingdom,,
T3574,A983553,Probabilistic topic models for sentiment analysis on the Web,2011,PhD,University of Exeter,United Kingdom,,
T3588,A1282523,Extending dependencies for improving data quality,2011,PhD,University of Edinburgh,United Kingdom,,
T3653,A1804424,Temporal models of streaming social media data,2014,PhD,University of Sheffield,United Kingdom,,
T3669,A393630,An adaptive simulation-based decision-making framework for small and medium sized enterprises,2011,PhD,Staffordshire University,United Kingdom,,
T3675,A2215951,Linear subspace methods in face recognition,2011,PhD,University of Nottingham,United Kingdom,,
