AKey,Name,Aliases,Affiliation,Country,Website
A23863,Liansheng Hua,,,,
A23930,Oliver Wonneberg,,,,
A23937,Fabian Keller,,,,
A24004,Furui Liu,,,,
A24021,Mark van de Wiel,,,,
A24143,Kin Hou Lei,Tobias Kin Hou Lei,,,
A24178,Anup Aprem,,,,
A24197,Qingwei Liu,,,,
A24206,Ken MacLeod,,,,
A24231,Gustavo Zanini Kantorski,,,,
A24330,Ahmed Taei,,,,
A24440,Abdelhamid Malki,,,,
A24597,Clément Caron,,,,
A24694,Oded Green,,,,
A24708,Ali Vakilian,,,,
A24731,Ravi Khadiwala,,,,
A24859,Mohamed Abdel Maksoud,,,,
A24959,Samuel Luckenbill,,,,
A25157,Yuqi Li,,,,
A25225,Dave De Maagd,,,,
A25230,Shixin Tian,,,,
A25233,Tom Quiggle,,,,
A25393,Michael R. Glass,Michael Robert Glass,IBM,USA,http://www.cs.utexas.edu/~mrglass
A25457,Hyunsouk Cho,,,,
A25525,Namyong Park,,,,
A25578,Jérémy Sanhes,,,,
A25670,Loli Burgueño,,University of Málaga,Spain,http://www.lcc.uma.es/~loli/
A25679,Erkang Zhu,,,,
A25745,Jonathan R. Mayer,,Princeton University,USA,https://jonathanmayer.org/
A25764,Jun Li 0033,,Southeast University,China,https://orcid.org/0000-0001-6509-1300
A25771,Ricardo Segovia,,,,
A25775,Alex Feinberg,,,,
A25839,Marco Console,,,,
A25859,Luís Moreira-Matias,,,,http://pt.linkedin.com/in/lmatias
A25873,Jay Kreps,,,,
A25928,Liyin Tang,,,,
A25999,Hongwei Liang,,,,
A26049,Prakash Khemani,,,,
A26054,Zichao Wen,,,,
A26097,Naved Ahmed,,,,
A26150,Boris Shkolnik,,,,
A26171,Sascha Goldhofer,,,,
A26349,Robert McColl,Robert Campbell McColl,,,
A26360,Serafeim Chatzopoulos,,,,
A26369,Bunyamin Sisman,,,,
A26394,Victor Yang Ye,,,,
A26402,Diederik M. Roijers,Diederik Marijn Roijers,,,https://orcid.org/0000-0002-2825-2491
A26403,Fredrik Milani,Fredrik P. Milani,,,
A26468,Patrick Lok,,,,
A26503,Seyednaser Nourashrafeddin,,,,
A26589,Anat Ben-David,,,,https://orcid.org/0000-0003-4510-5634
A26647,Kevin Acunto,,,,
A26693,Alexandre Rebert,,,,
A26751,Garm Lucassen,,,,https://orcid.org/0000-0002-0213-0699
A26808,Martin Trnecka,,,,https://orcid.org/0000-0001-7770-2033
A26859,Steve Byan,,,,
A26904,Shuai Zhao 0001,,Beijing University of Posts and Telecommunications,China,https://orcid.org/0000-0002-5217-004X
A27001,Tanay Kumar Saha,,,,https://orcid.org/0000-0002-7478-9222
