CKey,Shortname,Title,City,Country,Editors,Year,ISBN
C85,CIKM,24th ACM International Conference on Information and Knowledge Management; CIKM 2015,Melbourne,Australia,A1985875:A1854915:A111353:A402507:A855986:A1299035:A704762:A1164778,2015,978-1-4503-3794-6
C86,CIKM,28th ACM International Conference on Information and Knowledge Management; CIKM 2019,Beijing,China,A1338187:A910859:A1381848:A1418091:A402282:A2277428:A847151:A1164778,2019,978-1-4503-6976-3
C87,CIKM,22nd ACM International Conference on Information and Knowledge Management; CIKM'13,San Francisco,USA,A847151:A1761812:A1242906:A2453897:A402746,2013,978-1-4503-2263-8
C88,CIKM,25th ACM International Conference on Information and Knowledge Management; CIKM 2016,Indianapolis,USA,A714761:A755781:A1985990:A1444195:A674930:A2247340:A681380:A755857:A1563775:A2169652:A520813,2016,978-1-4503-4073-1
C89,CIKM,21st ACM International Conference on Information and Knowledge Management; CIKM'12,Maui,USA,A2077285:A1414629:A2106498:A756165,2012,978-1-4503-1156-4
C90,CIKM,23rd ACM International Conference on Conference on Information and Knowledge Management; CIKM 2014,Shanghai,China,A2084935:A2106294:A835191:A2227871:A704924:A2105819,2014,978-1-4503-2598-1
C91,CIKM,2017 ACM on Conference on Information and Knowledge Management; CIKM 2017,Singapore,Singapore,A1565265:A2105595:A704485:A349814:A1684098:A1272254:A1292502:A1918545:A1204193:A111264:A1910915:A1444428:A906989:A2247312:A1200788,2017,978-1-4503-4918-5
C92,CIKM,20th ACM Conference on Information and Knowledge Management; CIKM 2011,Glasgow,United Kingdom,A1557091:A80997:A402167,2011,978-1-4503-0717-8
C93,CIKM,27th ACM International Conference on Information and Knowledge Management; CIKM 2018,Torino,Italy,A1443948:A1927931:A2453512:A705198:A111264:A1858105:A756165:A1444162:A1565330:A705632:A2106498,2018,978-1-4503-6014-2
C94,SIGIR,38th International ACM SIGIR Conference on Research and Development in Information Retrieval,Santiago,Chile,A1986123:A1565671:A1854915:A402729,2015,978-1-4503-3621-5
C95,SIGIR,42nd International ACM SIGIR Conference on Research and Development in Information Retrieval; SIGIR 2019,Paris,France,A439286:A1444252:A2057796:A1855639:A1242937:A1262379,2019,978-1-4503-6172-9
C96,SIGIR,36th International ACM SIGIR conference on research and development in Information Retrieval; SIGIR '13,Dublin,Ireland,A238116:A276822:A113320:A402507:A2084120,2013,978-1-4503-2034-4
C97,SIGIR,39th International ACM SIGIR conference on Research and Development in Information Retrieval; SIGIR 2016,Pisa,Italy,A2453283:A705724:A1537479:A402167:A755820,2016,978-1-4503-4069-4
C98,SIGIR,35th International ACM SIGIR conference on research and development in Information Retrieval; SIGIR '12,Portland,USA,A2279584:A1444177:A1855639:A704485,2012,978-1-4503-1472-5
C99,SIGIR,37th International ACM SIGIR Conference on Research and Development in Information Retrieval; SIGIR '14,Gold Coast,Australia,A308462:A2247255:A1986657:A1739840:A39302,2014,978-1-4503-2257-7
C100,SIGIR,40th International ACM SIGIR Conference on Research and Development in Information Retrieval; Shinjuku,Tokyo,Japan,A379535:A2084120:A1896426:A1901338:A981894:A2106006,2017,978-1-4503-5022-8
C101,SIGIR,Proceeding of the 34th International ACM SIGIR Conference on Research and Development in Information Retrieval; SIGIR 2011,Beijing,China,A1855673:A1242937:A1986123:A81919:A1443585,2011,978-1-4503-0757-4
C102,SIGIR,41st International ACM SIGIR Conference on Research & Development in Information Retrieval; SIGIR 2018,Ann Arbor,USA,A1704101:A973701:A1331312:A928714:A1409202,2018,
C103,ICDE,31st IEEE International Conference on Data Engineering; ICDE 2015,Seoul,South Korea,A834952:A1565574:A705507:A1444318:A74443,2015,978-1-4799-7964-6
C104,ICDE,35th IEEE International Conference on Data Engineering; ICDE 2019,Macao,China,,2019,978-1-5386-7474-1
C105,ICDE,29th IEEE International Conference on Data Engineering; ICDE 2013,Brisbane,Australia,A39313:A39362:A755857,2013,978-1-4673-4909-3
C106,ICDE,32nd IEEE International Conference on Data Engineering; ICDE 2016,Helsinki,Finland,,2016,978-1-5090-2020-1
C107,ICDE,IEEE 28th International Conference on Data Engineering (ICDE 2012),Washington,USA,A283983:A1232875,2012,978-0-7695-4747-3
C108,ICDE,IEEE 30th International Conference on Data Engineering; ICDE 2014,Chicago,USA,A1443916:A349928:A2247296:A1985990:A996609,2014,978-1-4799-3480-5
C109,ICDE,33rd IEEE International Conference on Data Engineering; ICDE 2017,San Diego,USA,,2017,978-1-5090-6543-1
C110,ICDE,27th International Conference on Data Engineering; ICDE 2011,Hannover,Germany,A111346:A1986336:A856309:A2247307,2011,978-1-4244-8958-9
C111,ICDE,34th IEEE International Conference on Data Engineering; ICDE 2018,Paris,France,,2018,978-1-5386-5520-7
C112,ICDM,2015 IEEE International Conference on Data Mining; ICDM 2015,Atlantic City,USA,A111353:A755893:A2247347:A1947287:A2283240,2015,978-1-4673-9504-5
C113,ICDM,2019 IEEE International Conference on Data Mining; ICDM 2019,Beijing,China,A86796:A705507:A2283240,2019,978-1-7281-4604-1
C114,ICDM,2013 IEEE 13th International Conference on Data Mining,Dallas,USA,A1947287:A856000:A2247271:A1444463:A2283240,2013,978-0-7695-5108-1
C115,ICDM,IEEE 16th International Conference on Data Mining; ICDM 2016,Barcelona,Spain,A1985871:A1204199:A1986123:A755893:A2283240,2016,
C116,ICDM,12th IEEE International Conference on Data Mining; ICDM 2012,Brussels,Belgium,A756165:A705407:A1164778:A834584:A2106348:A2283240,2012,978-1-4673-4649-8
C117,ICDM,2014 IEEE International Conference on Data Mining; ICDM 2014,Shenzhen,China,A855986:A2247106:A2453897:A69931:A2283240,2014,978-1-4799-4302-9
C118,ICDM,2017 IEEE International Conference on Data Mining; ICDM 2017,New Orleans,USA,A402358:A111448:A856000:A1954606:A2283240,2017,978-1-5386-3835-4
C119,ICDM,11th IEEE International Conference on Data Mining; ICDM 2011,Vancouver,Canada,A1444463:A2453897:A2106232:A756064:A2283240,2011,978-0-7695-4408-3
C120,ICDM,IEEE International Conference on Data Mining; ICDM 2018,Singapore,Singapore,,2018,978-1-5386-9159-5
C121,WWW,24th International Conference on World Wide Web; WWW 2015,Florence,Italy,A655659:A1565369:A2185908,2015,978-1-4503-3469-3
C122,WWW,World Wide Web Conference; WWW 2019,San Francisco,USA,A1565950:A2106006:A1551005:A705450:A1640509:A1986123:A1193005,2019,978-1-4503-6674-8
C123,WWW,22nd International World Wide Web Conference; WWW '13,Rio de Janeiro,Brazil,A705739:A111243:A590828:A1986123:A1855266,2013,978-1-4503-2035-1
C124,WWW,25th International Conference on World Wide Web; WWW 2016,Montreal,Canada,A547138:A70007:A408317:A69752:A756103,2016,978-1-4503-4143-1
C125,WWW,21st World Wide Web Conference 2012; WWW 2012,Lyon,France,A1855269:A835016:A1364867:A402204:A705293,2012,978-1-4503-1229-5
C126,WWW,23rd International World Wide Web Conference; WWW '14,Seoul,South Korea,A1444154:A1858105:A705507:A704924,2014,978-1-4503-2744-2
C127,WWW,26th International Conference on World Wide Web; WWW 2017,Perth,Australia,A375633:A1671507:A1041037:A1307438,2017,978-1-4503-4913-0
C128,WWW,20th International Conference on World Wide Web; WWW 2011,Hyderabad,India,A740143:A402330:A971125:A279749:A1985990:A855986,2011,978-1-4503-0632-4
C129,WWW,2018 World Wide Web Conference on World Wide Web; WWW 2018,Lyon,France,A2219445:A835016:A1565671:A860507,2018,
C130,RECSYS,9th ACM Conference on Recommender Systems; RecSys 2015,Vienna,Austria,A1483185:A2353899:A1026890:A278657,2015,978-1-4503-3692-5
C131,RECSYS,13th ACM Conference on Recommender Systems; RecSys 2019,Copenhagen,Denmark,A709060:A118637:A1986267:A464868,2019,978-1-4503-6243-6
C132,RECSYS,Seventh ACM Conference on Recommender Systems; RecSys '13,Hong Kong,China,A2068592:A855648:A609114:A2058373:A856000,2013,978-1-4503-2409-0
C133,RECSYS,10th ACM Conference on Recommender Systems,Boston,USA,A2004272:A1930297:A1747592:A1443959,2016,978-1-4503-4035-9
C134,RECSYS,Sixth ACM Conference on Recommender Systems; RecSys '12,Dublin,Ireland,A1444058:A880554:A910091:A111590,2012,978-1-4503-1270-7
C135,RECSYS,Eighth ACM Conference on Recommender Systems; RecSys '14,Foster City,USA,A855724:A2347430:A266331:A856142,2014,978-1-4503-2668-1
C136,RECSYS,Eleventh ACM Conference on Recommender Systems; RecSys 2017,Como,Italy,A1267017:A402393:A1275646:A2247347,2017,978-1-4503-4652-8
C137,RECSYS,2011 ACM Conference on Recommender Systems; RecSys 2011,Chicago,USA,A9933:A475287:A39346:A655155,2011,978-1-4503-0683-6
C138,RECSYS,12th ACM Conference on Recommender Systems; RecSys 2018,Vancouver,Canada,A1173591:A517173:A1393082:A2279990,2018,978-1-4503-5901-6
