#Year, Host_Country, Match_ID, Type, Date, Location, Team 1, Team 2, Score 1, Score 2
1986,Mexico,319,Group F,7 June,Estadio Universitario; Monterrey,Poland,Portugal,1,0
1986,Mexico,320,Group F,11 June,Estadio Tres de Marzo; Guadalajara,Portugal,Morocco,1,3
1986,Mexico,321,Group F,11 June,Estadio Tecnológico; Monterrey,England,Poland,3,0
1986,Mexico,322,Round of 16,15 June,Estadio Azteca; Mexico City,Mexico,Bulgaria,2,0
1986,Mexico,323,Round of 16,15 June,Estadio Nou Camp; León,Soviet Union,Belgium,3,4
1986,Mexico,324,Round of 16,16 June,Estadio Cuauhtémoc; Puebla,Argentina,Uruguay,1,0
1986,Mexico,325,Round of 16,16 June,Estadio Jalisco; Guadalajara,Brazil,Poland,4,0
1986,Mexico,326,Round of 16,17 June,Estadio Olímpico Universitario; Mexico City,Italy,France,0,2
1986,Mexico,327,Round of 16,17 June,Estadio Universitario; Monterrey,Morocco,West Germany,0,1
1986,Mexico,328,Round of 16,18 June,Estadio Azteca; Mexico City,England,Paraguay,3,0
1986,Mexico,329,Round of 16,18 June,Estadio La Corregidora; Querétaro,Denmark,Spain,1,5
1986,Mexico,330,Quarter-finals,21 June,Estadio Jalisco; Guadalajara,Brazil,France,3,4pen
1986,Mexico,331,Quarter-finals,21 June,Estadio Universitario; Monterrey,West Germany,Mexico,4,1pen
1986,Mexico,332,Quarter-finals,22 June,Estadio Cuauhtémoc; Puebla,Spain,Belgium,4,5pen
1986,Mexico,333,Quarter-finals,22 June,Estadio Azteca; Mexico City,Argentina,England,2,1
1986,Mexico,334,Semi-finals,25 June,Estadio Azteca; Mexico City,Argentina,Belgium,2,0
1986,Mexico,335,Semi-finals,25 June,Estadio Jalisco; Guadalajara,France,West Germany,0,2
1986,Mexico,336,Match for third place,28 June,Estadio Cuauhtémoc; Puebla,France,Belgium,4,2aet
1986,Mexico,337,Final,29 June,Estadio Azteca; Mexico City,Argentina,West Germany,3,2
1990,Italy,338,Group A,9 June,Stadio Olimpico; Rome,Italy,Austria,1,0
1990,Italy,339,Group A,10 June,Stadio Comunale; Florence,United States,Czechoslovakia,1,5
1990,Italy,340,Group A,14 June,Stadio Olimpico; Rome,Italy,United States,1,0
1990,Italy,341,Group A,15 June,Stadio Comunale; Florence,Austria,Czechoslovakia,0,1
1990,Italy,342,Group A,19 June,Stadio Olimpico; Rome,Italy,Czechoslovakia,2,0
1990,Italy,343,Group A,19 June,Stadio Comunale; Florence,Austria,United States,2,1
1990,Italy,344,Group B,8 June,San Siro; Milan,Argentina,Cameroon,0,1
1990,Italy,345,Group B,9 June,Stadio San Nicola; Bari,Soviet Union,Romania,0,2
1990,Italy,346,Group B,13 June,Stadio San Paolo; Naples,Argentina,Soviet Union,2,0
1990,Italy,347,Group B,14 June,Stadio San Nicola; Bari,Cameroon,Romania,2,1
1990,Italy,348,Group B,18 June,Stadio San Paolo; Naples,Argentina,Romania,1,1
1990,Italy,349,Group B,18 June,Stadio San Nicola; Bari,Cameroon,Soviet Union,0,4
1990,Italy,350,Group C,10 June,Stadio Delle Alpi; Turin,Brazil,Sweden,2,1
1990,Italy,351,Group C,11 June,Stadio Luigi Ferraris; Genoa,Costa Rica,Scotland,1,0
1990,Italy,352,Group C,16 June,Stadio Delle Alpi; Turin,Brazil,Costa Rica,1,0
1990,Italy,353,Group C,16 June,Stadio Luigi Ferraris; Genoa,Sweden,Scotland,1,2
1990,Italy,354,Group C,20 June,Stadio Delle Alpi; Turin,Brazil,Scotland,1,0
1990,Italy,355,Group C,20 June,Stadio Luigi Ferraris; Genoa,Sweden,Costa Rica,1,2
1990,Italy,356,Group D,9 June,Stadio Renato Dall'Ara; Bologna,United Arab Emirates,Colombia,0,2
1990,Italy,357,Group D,10 June,San Siro; Milan,West Germany,Yugoslavia,4,1
1990,Italy,358,Group D,14 June,Stadio Renato Dall'Ara; Bologna,Yugoslavia,Colombia,1,0
1990,Italy,359,Group D,15 June,San Siro; Milan,West Germany,United Arab Emirates,5,1
1990,Italy,360,Group D,19 June,San Siro; Milan,West Germany,Colombia,1,1
1990,Italy,361,Group D,19 June,Stadio Renato Dall'Ara; Bologna,Yugoslavia,United Arab Emirates,4,1
1990,Italy,362,Group E,12 June,Stadio Marc'Antonio Bentegodi; Verona,Belgium,South Korea,2,0
1990,Italy,363,Group E,13 June,Stadio Friuli; Udine,Uruguay,Spain,0,0
1990,Italy,364,Group E,17 June,Stadio Marc'Antonio Bentegodi; Verona,Belgium,Uruguay,3,1
1990,Italy,365,Group E,17 June,Stadio Friuli; Udine,South Korea,Spain,1,3
1990,Italy,366,Group E,21 June,Stadio Marc'Antonio Bentegodi; Verona,Belgium,Spain,1,2
1990,Italy,367,Group E,21 June,Stadio Friuli; Udine,South Korea,Uruguay,0,1
1990,Italy,368,Group F,11 June,Stadio Sant'Elia; Cagliari,England,Ireland,1,1
1990,Italy,369,Group F,12 June,Stadio La Favorita; Palermo,Netherlands,Egypt,1,1
1990,Italy,370,Group F,16 June,Stadio Sant'Elia; Cagliari,England,Netherlands,0,0
1990,Italy,371,Group F,17 June,Stadio La Favorita; Palermo,Ireland,Egypt,0,0
1990,Italy,372,Group F,21 June,Stadio Sant'Elia; Cagliari,England,Egypt,1,0
1990,Italy,373,Group F,21 June,Stadio La Favorita; Palermo,Ireland,Netherlands,1,1
1990,Italy,374,Round of 16,23 June,Stadio San Paolo; Naples,Cameroon,Colombia,2,1
1990,Italy,375,Round of 16,23 June,Stadio San Nicola; Bari,Czechoslovakia,Costa Rica,4,1
1990,Italy,376,Round of 16,24 June,Stadio Delle Alpi; Turin,Brazil,Argentina,0,1
1990,Italy,377,Round of 16,24 June,San Siro; Milan,West Germany,Netherlands,2,1
1990,Italy,378,Round of 16,25 June,Stadio Luigi Ferraris; Genoa,Ireland,Romania,5,4pen
1990,Italy,379,Round of 16,25 June,Stadio Olimpico; Rome,Italy,Uruguay,2,0
1990,Italy,380,Round of 16,26 June,Stadio Marc'Antonio Bentegodi; Verona,Spain,Yugoslavia,1,2
1990,Italy,381,Round of 16,26 June,Stadio Renato Dall'Ara; Bologna,England,Belgium,1,0
1990,Italy,382,Quarter-finals,30 June,Stadio Artemio Franchi; Florence,Yugoslavia,Argentina,2,3pen
