#Year, Host_Country, Match_ID, Team, Player, Minute
2014,Brazil,753,Belgium,Romelu Lukaku,105
2014,Brazil,753,United States,Julian Green,107
2014,Brazil,754,Brazil,Thiago Silva,7
2014,Brazil,754,Brazil,David Luiz,69
2014,Brazil,754,Colombia,James Rodríguez,80
2014,Brazil,755,Germany,Mats Hummels,13
2014,Brazil,757,Argentina,Gonzalo Higuaín,8
2014,Brazil,758,Brazil,Oscar,90
2014,Brazil,758,Germany,Thomas Müller,11
2014,Brazil,758,Germany,Miroslav Klose,23
2014,Brazil,758,Germany,Toni Kroos,24
2014,Brazil,758,Germany,Toni Kroos,26
2014,Brazil,758,Germany,Sami Khedira,29
2014,Brazil,758,Germany,André Schürrle,69
2014,Brazil,758,Germany,André Schürrle,79
2014,Brazil,760,Netherlands,Robin van Persie,3
2014,Brazil,760,Netherlands,Daley Blind,17
2014,Brazil,760,Netherlands,Georginio Wijnaldum,91
2014,Brazil,761,Germany,Mario Götze,113
