MovieID,OriginalLanguage,OriginalTitle,EnglishTitle,Budget,Revenue,Homepage,Runtime,ReleaseDate,Genres,CastID,ProductionCompanies,ProductionCountries,SpokenLanguages
341006,en-English,The Belko Experiment,The Belko Experiment,5000000,,https://www.facebook.com/TheBelkoExperiment/?ref=br_rs,88,2016-03-17,Action|Horror|Thriller,,Orion Pictures|Blumhouse Productions|Metro-Goldwyn-Mayer (MGM)|The Safran Company|Itaca Films|BH Tilt|Troll Court Entertainment,US-United States of America,en-English
362343,de-Deutsch,Ritter Trenk,Trenk; the Little Knight,,,,,2015-11-05,Animation,,Dor Film Produktionsgesellschaft GmbH|Blue Eyes Fiction|Zweites Deutsches Fernsehen (ZDF)|Universum Film (UFA)|WunderWerk,DE-Germany,en-English|de-Deutsch
157803,en-English,Unbreakable: The Western States 100,Unbreakable: The Western States 100,,,http://www.ws100film.com/,105,2012-11-22,,,,,
328216,en-English,Be My Cat: A Film for Anne,Be My Cat: A Film for Anne,10000,,https://bemycatafilmforanne.com/,87,2015-03-01,Horror|Thriller,,Adrian Țofei,RO-Romania,en-English
416477,en-English,The Big Sick,The Big Sick,,52620184,http://thebigsickmovie.com,120,2017-06-23,Comedy|Drama|Romance,,FilmNation Entertainment|Apatow Productions|Amazon Studios,US-United States of America,en-English|ur-اردو
411741,en-English,Ingrid Goes West,Ingrid Goes West,,,http://ingridgoeswestfilm.com,97,2017-08-11,Drama|Comedy,,Star Thrower Entertainment|141 Entertainment|Neon,US-United States of America,en-English
425591,en-English,I Don't Feel at Home in This World Anymore,I Don't Feel at Home in This World Anymore,,,,96,2017-01-19,Comedy|Crime|Drama|Thriller,,Film Science|XYZ Films,US-United States of America,en-English
369778,fr-Français,Chocolat,Chocolat,18500000,,,119,2016-02-03,Comedy|Drama,,Gaumont|M6 Films|Mandarin Cinéma,FR-France,fr-Français
416988,en-English,The Case of: JonBenét Ramsey,The Case of: JonBenét Ramsey,,,,165,2016-09-18,,,,,
274857,en-English,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,175000000,146175066,http://kingarthurmovie.com,126,2017-04-27,Action|Drama|Fantasy,,Village Roadshow Pictures|Weed Road Pictures|Warner Bros.|Wigram Productions|Safehouse Pictures,US-United States of America,en-English|th-ภาษาไทย
408623,en-English,The Rolling Stones Olé Olé Olé! : A Trip Across Latin America,The Rolling Stones Olé Olé Olé! : A Trip Across Latin America,,,,105,2016-10-21,Music|Documentary,,JA Digital,GB-United Kingdom,pt-Português|en-English|es-Español
403605,id-Bahasa indonesia,Headshot,Headshot,,,,117,2016-09-24,Action|Thriller,,Screenplay Infinite Films,ID-Indonesia,en-English|id-Bahasa indonesia|pt-Português|es-Español
334532,en-English,100 Streets,100 Streets,,,http://www.crossdayproductions.com/a-hundred-streets,93,2016-11-11,Drama,,CrossDay Productions Ltd.|Green Door Pictures|Helicopter Film Services,GB-United Kingdom,en-English
241258,en-English,Incarnate,Incarnate,5000000,6341855,,91,2016-12-01,Horror|Thriller,,Blumhouse Productions|IM Global|WWE Studios,US-United States of America,en-English
362141,tr-Türkçe,Köpek,Dog,,,https://www.facebook.com/koepekfilm,94,2015-12-10,Drama,,Maximage GmbH|Gaya Film,TR-Turkey|CH-Switzerland,tr-Türkçe
321612,en-English,Beauty and the Beast,Beauty and the Beast,160000000,1262886337,http://movies.disney.com/beauty-and-the-beast-2017,129,2017-03-16,Family|Fantasy|Romance,,Walt Disney Pictures|Mandeville Films,GB-United Kingdom|US-United States of America,en-English
433245,en-English,Take the 10,Take the 10,,,,80,2017-01-20,Comedy,,Silver Lining Entertainment (II)|Blue Creek Pictures,US-United States of America,en-English
385261,ko-한국어/조선말,해어화,Love; Lies,120,,,120,2016-04-13,Romance|History|Drama,,Lotte Entertainment,KR-South Korea,ko-한국어/조선말
380124,en-English,Boo! A Madea Halloween,Boo! A Madea Halloween,,,,103,2016-10-21,Comedy|Horror,,Lionsgate|The Tyler Perry Company,US-United States of America,en-English
388235,en-English,Spring Broke,Spring Broke,,,http://www.sho.com/titles/3429923/spring-broke,78,2016-03-22,Documentary,,,,en-English
295693,en-English,The Boss Baby,The Boss Baby,125000000,498814908,http://www.dreamworks.com/thebossbaby/,97,2017-03-23,Animation|Comedy|Family,,Twentieth Century Fox Film Corporation|DreamWorks Animation,US-United States of America,en-English
408220,en-English,Justice League Dark,Justice League Dark,,,http://www.warnerbros.com/justice-league-dark,75,2017-01-24,Action|Animation|Fantasy|Science Fiction|Thriller,,Warner Bros. Animation|DC Entertainment,US-United States of America,en-English|de-Deutsch|es-Español
363807,pt-Português,Liar; Liar; Vampire,Liar; Liar; Vampire,3500000,,,66,2015-10-12,Comedy,,Pacific Bay Entertainment Canada|Pacific Bay Entertainment,US-United States of America,en-English
376424,en-English,Beware the Slenderman,Beware the Slenderman,,,http://www.hbo.com/documentaries/beware-the-slenderman,117,2016-03-11,Crime|Documentary,,Vermillon Films,US-United States of America,en-English
181135,en-English,Twist of Faith,Twist of Faith,,,,85,2013-03-09,Drama,,,,en-English
268105,es-Español,Los parecidos,The Similars,,,,89,2015-09-25,Science Fiction,,,MX-Mexico,es-Español
89440,pl-Polski,Święta krowa,Father; Son & Holy Cow,,,,,2011-08-04,Drama|Comedy,,,,
412203,ar-العربية,Bar Bahar,In Between,,,,96,2016-11-25,Drama,,,FR-France|IL-Israel,ar-العربية|he-עברית
221112,zh-普通话,被偷走的那五年,The Stolen Years,,,,111,2013-08-29,Romance,,China Movie Channel|Beijing New Film Association,CN-China,zh-普通话
